Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_GEO_ID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017,PCT_SE_A04001_002,PCT_SE_A04001_003,PCT_SE_A04001_004,PCT_SE_A04001_005,PCT_SE_A04001_006,PCT_SE_A04001_007,PCT_SE_A04001_008,PCT_SE_A04001_009,PCT_SE_A04001_010,PCT_SE_A04001_011,PCT_SE_A04001_012,PCT_SE_A04001_013,PCT_SE_A04001_014,PCT_SE_A04001_015,PCT_SE_A04001_016,PCT_SE_A04001_017
"06075010101","Census Tract 101.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"010101",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075010101","Census Tract 101.01",,,,2004,1668,770,132,52,608,0,47,59,336,65,0,15,0,46,102,108,83.23,38.42,6.59,2.59,30.34,0,2.35,2.94,16.77,3.24,0,0.75,0,2.3,5.09,5.39
"06075010102","Census Tract 101.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"010102",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075010102","Census Tract 101.02",,,,1795,1702,554,322,0,766,16,0,44,93,8,0,0,0,0,76,9,94.82,30.86,17.94,0,42.67,0.89,0,2.45,5.18,0.45,0,0,0,0,4.23,0.5
"06075010201","Census Tract 102.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"010201",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075010201","Census Tract 102.01",,,,2608,2297,1762,134,0,206,0,0,195,311,31,0,0,0,0,18,262,88.08,67.56,5.14,0,7.9,0,0,7.48,11.92,1.19,0,0,0,0,0.69,10.05
"06075010202","Census Tract 102.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"010202",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075010202","Census Tract 102.02",,,,1761,1706,1179,58,0,284,27,38,120,55,0,0,0,0,0,48,7,96.88,66.95,3.29,0,16.13,1.53,2.16,6.81,3.12,0,0,0,0,0,2.73,0.4
"06075010300","Census Tract 103, San Francisco County, California","ca","140","00",,,,"06","075",,,"010300",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075010300","Census Tract 103",,,,3791,3338,2258,0,0,949,0,28,103,453,55,0,76,0,0,0,322,88.05,59.56,0,0,25.03,0,0.74,2.72,11.95,1.45,0,2,0,0,0,8.49
"06075010401","Census Tract 104.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"010401",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075010401","Census Tract 104.01",,,,2393,1909,1290,11,0,477,0,0,131,484,25,0,1,0,0,73,385,79.77,53.91,0.46,0,19.93,0,0,5.47,20.23,1.04,0,0.04,0,0,3.05,16.09
"06075010402","Census Tract 104.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"010402",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075010402","Census Tract 104.02",,,,2012,1852,1130,9,0,527,0,15,171,160,106,0,0,0,0,9,45,92.05,56.16,0.45,0,26.19,0,0.75,8.5,7.95,5.27,0,0,0,0,0.45,2.24
"06075010500","Census Tract 105, San Francisco County, California","ca","140","00",,,,"06","075",,,"010500",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075010500","Census Tract 105",,,,3177,3120,1352,39,0,1606,0,0,123,57,24,0,0,0,0,23,10,98.21,42.56,1.23,0,50.55,0,0,3.87,1.79,0.76,0,0,0,0,0.72,0.31
"06075010600","Census Tract 106, San Francisco County, California","ca","140","00",,,,"06","075",,,"010600",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075010600","Census Tract 106",,,,3293,2876,893,100,0,1647,0,11,225,417,132,0,13,0,0,51,221,87.34,27.12,3.04,0,50.02,0,0.33,6.83,12.66,4.01,0,0.39,0,0,1.55,6.71
"06075010701","Census Tract 107.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"010701",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075010701","Census Tract 107.01",,,,3280,3248,160,0,0,3039,0,10,39,32,32,0,0,0,0,0,0,99.02,4.88,0,0,92.65,0,0.3,1.19,0.98,0.98,0,0,0,0,0,0
"06075010702","Census Tract 107.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"010702",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075010702","Census Tract 107.02",,,,1380,1137,348,0,0,692,0,0,97,243,9,0,37,0,0,197,0,82.39,25.22,0,0,50.14,0,0,7.03,17.61,0.65,0,2.68,0,0,14.28,0
"06075010800","Census Tract 108, San Francisco County, California","ca","140","00",,,,"06","075",,,"010800",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075010800","Census Tract 108",,,,4334,4114,2012,377,0,1416,0,97,212,220,77,0,0,0,0,104,39,94.92,46.42,8.7,0,32.67,0,2.24,4.89,5.08,1.78,0,0,0,0,2.4,0.9
"06075010901","Census Tract 109.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"010901",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075010901","Census Tract 109.01",,,,2069,1732,1234,9,0,364,0,25,100,337,166,0,27,0,0,0,144,83.71,59.64,0.43,0,17.59,0,1.21,4.83,16.29,8.02,0,1.3,0,0,0,6.96
"06075010902","Census Tract 109.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"010902",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075010902","Census Tract 109.02",,,,2568,2158,1591,0,0,407,0,0,160,410,132,0,0,0,0,96,182,84.03,61.95,0,0,15.85,0,0,6.23,15.97,5.14,0,0,0,0,3.74,7.09
"06075011001","Census Tract 110.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"011001",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075011001","Census Tract 110.01",,,,2327,2271,1468,0,0,781,0,12,10,56,23,0,0,0,0,33,0,97.59,63.09,0,0,33.56,0,0.52,0.43,2.41,0.99,0,0,0,0,1.42,0
"06075011002","Census Tract 110.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"011002",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075011002","Census Tract 110.02",,,,1755,1491,686,0,0,695,0,0,110,264,39,0,0,0,0,122,103,84.96,39.09,0,0,39.6,0,0,6.27,15.04,2.22,0,0,0,0,6.95,5.87
"06075011101","Census Tract 111.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"011101",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075011101","Census Tract 111.01",,,,2470,2230,1100,76,0,967,0,0,87,240,136,0,0,0,0,18,86,90.28,44.53,3.08,0,39.15,0,0,3.52,9.72,5.51,0,0,0,0,0.73,3.48
"06075011102","Census Tract 111.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"011102",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075011102","Census Tract 111.02",,,,2205,1960,715,244,0,894,0,0,107,245,16,0,5,0,0,203,21,88.89,32.43,11.07,0,40.54,0,0,4.85,11.11,0.73,0,0.23,0,0,9.21,0.95
"06075011200","Census Tract 112, San Francisco County, California","ca","140","00",,,,"06","075",,,"011200",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075011200","Census Tract 112",,,,2678,2621,1348,50,0,974,0,55,194,57,34,0,0,0,0,0,23,97.87,50.34,1.87,0,36.37,0,2.05,7.24,2.13,1.27,0,0,0,0,0,0.86
"06075011300","Census Tract 113, San Francisco County, California","ca","140","00",,,,"06","075",,,"011300",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075011300","Census Tract 113",,,,2518,2418,488,48,0,1795,0,0,87,100,75,0,0,2,0,13,10,96.03,19.38,1.91,0,71.29,0,0,3.46,3.97,2.98,0,0,0.08,0,0.52,0.4
"06075011700","Census Tract 117, San Francisco County, California","ca","140","00",,,,"06","075",,,"011700",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075011700","Census Tract 117",,,,1947,1659,825,57,0,633,0,3,141,288,16,0,0,0,0,143,129,85.21,42.37,2.93,0,32.51,0,0.15,7.24,14.79,0.82,0,0,0,0,7.34,6.63
"06075011800","Census Tract 118, San Francisco County, California","ca","140","00",,,,"06","075",,,"011800",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075011800","Census Tract 118",,,,1635,1599,122,30,0,1373,0,0,74,36,14,0,0,0,0,6,16,97.8,7.46,1.83,0,83.98,0,0,4.53,2.2,0.86,0,0,0,0,0.37,0.98
"06075011901","Census Tract 119.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"011901",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075011901","Census Tract 119.01",,,,2084,1703,846,57,0,645,11,9,135,381,96,0,0,0,0,231,54,81.72,40.6,2.74,0,30.95,0.53,0.43,6.48,18.28,4.61,0,0,0,0,11.08,2.59
"06075011902","Census Tract 119.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"011902",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075011902","Census Tract 119.02",,,,2732,2361,1138,69,0,975,0,51,128,371,66,0,9,0,0,282,14,86.42,41.65,2.53,0,35.69,0,1.87,4.69,13.58,2.42,0,0.33,0,0,10.32,0.51
"06075012001","Census Tract 120.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"012001",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075012001","Census Tract 120.01",,,,1738,1478,660,12,0,330,0,187,289,260,5,0,0,0,0,70,185,85.04,37.97,0.69,0,18.99,0,10.76,16.63,14.96,0.29,0,0,0,0,4.03,10.64
