GEOID,Total population,        5 to 17 years,"        White alone, not Hispanic or Latino",        Below 100 percent of the poverty level,Percentage of people who ride transit,Non white pop
06075010101,"2,004",1.00%,38.40%,9.80%,0.241587575,61.60%
06075010102,"1,795",12.40%,30.90%,11.90%,0.21754386,69.10%
06075010201,"2,608",6.60%,67.60%,6.10%,0.130128957,32.40%
06075010201,"1,761",2.40%,67.00%,7.10%,0.14072327,33.00%
06075010201,"3,791",2.20%,59.60%,8.30%,0.09039319,40.40%
06075010201,"2,393",8.70%,53.90%,12.30%,0.026094276,46.10%
06075010201,"2,012",5.10%,56.20%,2.80%,0.107941403,43.80%
06075010201,"3,177",8.80%,42.60%,6.80%,0.179706601,57.40%
06075010201,"3,293",6.30%,27.10%,11.80%,0.275391612,72.90%
06075010201,"3,280",5.30%,4.90%,29.10%,0.4515625,95.10%
06075010201,"1,380",8.00%,25.20%,27.60%,0.231539424,74.80%
06075010201,"4,334",1.50%,46.40%,10.70%,0.198344371,53.60%
06075010201,"2,069",4.50%,59.60%,2.60%,0.250797703,40.40%
06075010201,"2,568",5.70%,62.00%,12.20%,0.121775026,38.00%
06075010201,"2,327",0.80%,63.10%,15.00%,0.245681382,36.90%
06075010201,"1,755",5.50%,39.10%,6.30%,0.165709598,60.90%
06075010201,"2,470",2.80%,44.50%,10.70%,0.24729892,55.50%
06075010201,"2,205",2.30%,32.40%,10.00%,0.25841088,67.60%
06075010201,"2,678",2.90%,50.30%,13.30%,0.166134185,49.70%
06075010201,"2,518",5.30%,19.40%,29.70%,0.171659919,80.60%
06075010201,"1,947",6.90%,42.40%,21.30%,0.195939086,57.60%
06075010201,"1,635",8.00%,7.50%,30.50%,0.309696093,92.50%
06075010201,"2,084",3.50%,40.60%,8.50%,0.206185567,59.40%
06075010201,"2,732",2.20%,41.70%,6.70%,0.179327522,58.30%
06075010201,"1,738",0.40%,38.00%,8.40%,0.110556941,62.00%
06075010201,"2,035",1.10%,26.00%,17.00%,0.234256927,74.00%
06075010201,"3,250",1.20%,43.80%,13.40%,0.230442978,56.20%
06075010201,"3,017",4.50%,36.60%,28.60%,0.281358885,63.40%
06075010201,"1,895",6.90%,56.70%,57.10%,0.415748031,43.30%
